indice_tiempo,total_recaudacion,subtotal_dgi,subtotal_dga,seguridad_social,total_recaudacion_var_ia,subtotal_dgi_var_ia,subtotal_dga_var_ia,seguridad_social_var_ia
1997-01-01,4353.7589573800005,2313.67514888,884.3412494999999,1155.7425589999998,,,,
1997-02-01,3634.7622079300004,2038.6502506099998,744.10848932,852.003468,,,,
1997-03-01,3531.36025391,1955.4332607699998,799.97610814,775.950885,,,,
1997-04-01,3939.77734259,2154.34053131,960.91351428,824.5232970000001,,,,
1997-05-01,4600.93050806,2778.2112772200003,984.07841484,838.6408160000001,,,,
1997-06-01,3908.6077911,2191.86160656,900.47866654,816.267518,,,,
1997-07-01,4136.127520910001,1931.87649902,1036.55005989,1167.7009720000003,,,,
1997-08-01,4009.2686883499996,2233.87882535,961.184588,814.2052750000001,,,,
1997-09-01,4083.2625197499992,2161.57407411,1112.10492783,809.5830678099999,,,,
1997-10-01,3961.8721024100005,2044.81196,1084.75550541,832.3046360000001,,,,
1997-11-01,4117.013020980001,2324.6516149299996,976.65703305,815.7043729999999,,,,
1997-12-01,4250.573704570001,2439.46634503,962.41212854,848.695231,,,,
1998-01-01,4153.8362087900005,2068.60618508,942.68512271,1142.5449010000002,-0.04591957215525533,,,
1998-02-01,3928.5013594,2301.71940134,800.72516806,826.0567899999999,0.08081385649634676,,,
1998-03-01,3888.0215952900003,2098.42619446,1027.04667083,762.5487300000002,0.10099828840320013,,,
1998-04-01,3899.3891778800003,2154.62956705,970.41142083,774.34819,-0.010251382552357247,,,
1998-05-01,4703.723850810001,2983.59702712,926.44717369,793.6796500000002,0.022341859449936496,,,
1998-06-01,4617.98512186,2762.50974659,1019.32917722,836.1461980500002,0.18149104967125895,,,
1998-07-01,4390.8997756399995,2186.98597534,1078.39536574,1125.5184345600003,0.06159680847411231,,,
1998-08-01,4188.35460957,2398.4549819999997,990.1997423700001,799.6998851999999,0.044667976915686136,,,
1998-09-01,3980.1947104100004,2203.71422981,976.20128406,800.27919654,-0.025241533906154356,,,
1998-10-01,3973.5104546199996,2202.06498798,946.50935047,824.9361161699998,0.0029375890763660983,,,
1998-11-01,4030.3126312000004,2355.5999695,887.28742264,787.4252390600001,-0.02105905163238042,,,
1998-12-01,4281.813560979999,2636.25272535,851.09367508,794.4671605499998,0.007349562337058524,,,
1999-01-01,4179.71660927,2316.12674635,718.4667564800001,1145.1231064400004,0.006230481699117885,,,
1999-02-01,3753.3791592599996,2320.22140184,653.0631751200001,780.0945823,-0.044577355107940475,,,
1999-03-01,3904.7960953500005,2350.5832116799997,816.3110829100001,737.90180076,0.004314405064087312,,,
1999-04-01,3807.6217490800004,2338.14623791,756.71885298,712.7566581899999,-0.023533795836683136,,,
1999-05-01,4166.50943456,2802.8978882100005,672.81834484,690.7932015100001,-0.11421044969667815,,,
1999-06-01,4179.10385398,2737.6575158200003,776.06191545,665.3844227100001,-0.09503739321343463,,,
1999-07-01,4074.5277891299997,2230.1863747700004,825.8719036800001,1018.46951068,-0.07205174398768566,,,
1999-08-01,3990.1056930899995,2500.23569901,799.15156985,690.71842423,-0.04733336476023797,,,
1999-09-01,3921.4833979299997,2356.5904419199996,808.4300825700001,756.4628734400001,-0.014750864405312702,,,
1999-10-01,3795.41934541,2389.42753999,800.9297819200001,605.0620235,-0.04481958994292645,,,
1999-11-01,3984.1706098900004,2442.93555052,855.05705217,686.1780071999999,-0.01144874493179493,,,
1999-12-01,3886.2244478000002,2405.5122898600002,828.23252007,652.4796378699998,-0.092388215307875,,,
2000-01-01,4110.58014151,2505.70116978,666.5544757200001,938.3244960100001,-0.01654094624661029,,,
2000-02-01,3739.3391383000007,2317.38140306,654.67239774,767.2853375000002,-0.003740634869078052,,,
2000-03-01,3812.89700236,2353.7661693699993,740.6976408699999,718.4331921300001,-0.023534927495814206,,,
2000-04-01,3892.5721773099995,2607.8128582,651.68984486,633.0694742499999,0.022310626902613206,,,
2000-05-01,4341.3143552,2911.8796934399998,755.6266665400001,673.8161455899999,0.04195476414622834,,,
2000-06-01,4824.328246559999,3357.1719010700003,737.92338494,729.1798145099998,0.1543930026925544,,,
2000-07-01,4225.883777850001,2479.54106211,752.1208164399999,994.2218992999997,0.03714687849811393,,,
2000-08-01,4208.62121667,2730.79086945,787.4694154700001,690.4498387300002,0.05476434470355551,,,
2000-09-01,4071.91770826,2521.69557325,715.1426141000001,835.0271734200002,0.03836158286667968,,,
2000-10-01,4022.85551068,2563.12537252,772.5189247399999,687.2400149999999,0.059923856778843376,,,
2000-11-01,3920.76329302,2487.53509321,758.50036237,674.7644463900002,-0.0159148096501196,,,
2000-12-01,3931.2985727799996,2592.2129726999997,682.45178888,656.6355643100001,0.011598435856044365,,,
2001-01-01,4219.057216759999,2595.4121260699994,667.55050536,956.0945853299996,0.02638972396002237,0.03580273552646984,0.001494295929712175,0.01893810658845907
2001-02-01,3764.2977356199995,2509.31049836,574.1784615700001,680.8087756899998,0.00667460115194185,0.08282153945248982,-0.12295300129938835,-0.11270456710636723
2001-03-01,3321.6662610000003,1980.32720309,687.91479391,653.424264,-0.12883399185867106,-0.1586559324114819,-0.07126098970425077,-0.0904870889069902
2001-04-01,3538.30063011,2275.9690947599997,653.8345863599999,608.49694899,-0.09101219734988253,-0.12724983788485877,0.003291046372620121,-0.03881489514102865
2001-05-01,4690.52761486,3341.4310807900006,698.13463968,650.96189439,0.08043952386025999,0.14751687314476336,-0.07608522754133995,-0.03391763665738301
