fecha,recaudacion,pbi,presion_tributaria_pct,anio,mes
2020-01-01,3288302.78243201,527284.46216997,623.6297517471747,2020,1
2020-02-01,2957817.62220845,471693.290156,627.0637475530403,2020,2
2020-03-01,2777787.0001629,443636.6561833,626.1400994365049,2020,3
2020-04-01,2510309.15915968,398658.7237550499,629.6887562159816,2020,4
2020-05-01,3189899.4494805,499534.96312047006,638.5738106405997,2020,5
2020-06-01,3469965.3425235,545962.77820331,635.568115823333,2020,6
2020-07-01,3477660.63231601,559091.89745643,622.0195012908453,2020,7
2020-08-01,3875377.06766546,612146.02653281,633.0804905515051,2020,8
2020-09-01,3829901.3982269703,606508.0647774901,631.4675138956393,2020,9
2020-10-01,4077247.94196872,642104.4653061801,634.9820258646748,2020,10
2020-11-01,4132900.2086204896,648976.2944879599,636.8337709286183,2020,11
2020-12-01,4340682.51108066,679640.69150076,638.6731349907418,2020,12
2021-01-01,4863856.18067994,772859.8174596,629.3322632126866,2021,1
2021-02-01,4525128.14797905,716595.43985888,631.4759899770208,2021,2
2021-03-01,4831019.123672361,763857.8215363701,632.4500433805322,2021,3
2021-04-01,5155288.824205009,817882.1230440498,630.3217393990348,2021,4
2021-05-01,5479461.15934643,862479.93573646,635.3146238315204,2021,5
2021-06-01,5863113.10144895,922853.32154597,635.3244838114712,2021,6
2021-07-01,5835867.4395893,933200.16775295,625.3607362331994,2021,7
2021-08-01,6377611.49371193,1005306.0645306,634.3950085181053,2021,8
2021-09-01,6201757.32787096,976314.14248594,635.2214986950547,2021,9
2021-10-01,6458774.686128589,1018783.23339976,633.9694720510024,2021,10
2021-11-01,6562394.37864497,1034858.19613094,634.1346479334096,2021,11
2021-12-01,7505766.874282829,1179889.8214528195,636.1413360648237,2021,12
2022-01-01,7344779.41224128,1171943.0637611402,626.7181093823392,2022,1
2022-02-01,7362979.73502279,1166514.24060695,631.1950149182708,2022,2
2022-03-01,7838991.498759191,1241088.95711712,631.6220488310602,2022,3
2022-04-01,8483554.388858391,1341595.35611988,632.3482225962872,2022,4
2022-05-01,9892066.886074381,1551369.96283376,637.6342924678878,2022,5
2022-06-01,10713513.59962683,1680901.30723038,637.367200176641,2022,6
2022-07-01,10972073.22687288,1745178.10466373,628.7079351701491,2022,7
2022-08-01,11017882.14721387,1731319.4924793502,636.3864205927482,2022,8
2022-09-01,13476766.332775721,2127180.67389125,633.5506192862632,2022,9
2022-11-01,12470900.87726623,1953859.6578480103,638.2700429467762,2022,11
2022-12-01,14693501.95837821,2307475.60560662,636.7782143688312,2022,12
2023-01-01,14246665.49439029,2265961.79873514,628.7248753417988,2023,1
2023-02-01,13458517.16264494,2126337.89725611,632.9434837243983,2023,2
2023-03-01,14839424.25579665,2336942.38424853,634.9931584029374,2023,3
2023-04-01,16218195.58766177,2551511.44943979,635.6309155979933,2023,4
2023-05-01,20315673.42141499,3178453.6382806497,639.1684678592492,2023,5
2023-06-01,22523835.20292041,3517257.61702437,640.3805935027235,2023,6
2023-07-01,22399328.19901105,3571198.0279958905,627.2216780871505,2023,7
2023-08-01,25902269.33497899,4062431.79948446,637.6050260896958,2023,8
2023-09-01,27515032.14441995,4303335.131374829,639.3885510754875,2023,9
2023-10-01,28514737.822408568,4466095.489322309,638.4712975927756,2023,10
2023-11-01,29718046.905836012,4679609.85737704,635.0539427766147,2023,11
2024-01-01,48549541.287841156,7699887.38525299,630.5227447978579,2024,1
2024-02-01,45867983.500391915,7249313.922219569,632.7217167379644,2024,2
2024-03-01,48655491.924545825,7726458.691607789,629.7256462057285,2024,3
2024-04-01,54881438.06396774,8663813.17291225,633.4559271840799,2024,4
2024-05-01,87150092.4655814,13379446.494132482,651.3729286469423,2024,5
2024-06-01,71511763.11588049,11297649.20446474,632.9791430204756,2024,6
2024-07-01,74128520.88863762,11910547.537222948,622.3771044695511,2024,7
2024-08-01,74354266.69434157,11764131.36139993,632.0421322249961,2024,8
2024-09-01,80993017.54606457,12844456.67623793,630.5678752134418,2024,9
2024-10-01,80791007.3357428,12780380.77223406,632.1486720588547,2024,10
2024-11-01,82416175.44669133,13026430.83240848,632.6842441111957,2024,11
2024-12-01,82625951.90118095,13015182.677521478,634.8428135694494,2024,12
2025-01-01,94120944.56417687,15031693.08669754,626.1499887026713,2025,1
2025-02-01,85408871.55212194,13520837.1049842,631.6833113878547,2025,2
2025-03-01,79837858.91706932,12733317.184110267,626.9996872197443,2025,3
2025-04-01,85942975.54196812,13681770.96797642,628.1568061848602,2025,4
2025-05-01,101045499.81419653,15862862.396723382,636.994114221582,2025,5
2025-06-01,101903378.65990017,16184465.69467703,629.6369653612696,2025,6
2025-07-01,105625398.82738101,16998944.53100429,621.3644537443568,2025,7
2025-08-01,97397131.88351224,15359108.194565669,634.1327286044715,2025,8
2025-09-01,97792450.76526745,15444975.67077525,633.1667517632213,2025,9
2025-10-01,103130742.0792609,16165741.65153192,637.9586183074247,2025,10
2025-11-01,98559736.48838916,15598231.87420104,631.8647990571528,2025,11
2025-12-01,104795603.26290765,16527267.82514989,634.0769954937016,2025,12
